run_idx,method,wav_length_sec,time_sec,T60,SNR_diffuse,mean_separation_deg,sdr_spk0,sdr_spk1,sir_spk0,sir_spk1,sar_spk0,sar_spk1
53,PASTD,12.256,2.85,0.8,10.0,80.0,-3.31,-1.81,5.23,6.5,-1.52,-0.24
54,PASTD,15.328,3.8,0.8,10.0,170.0,2.83,1.25,8.54,8.52,4.76,2.72
55,PASTD,14.208,3.71,0.8,10.0,60.0,0.65,1.67,4.81,13.84,3.99,2.12
56,PASTD,15.264,3.44,0.8,10.0,40.0,0.87,3.18,10.97,10.47,1.65,4.45
57,PASTD,14.304,3.24,0.8,10.0,70.0,2.48,0.86,9.36,9.19,3.95,2.04
58,PASTD,13.536,2.55,0.8,10.0,110.0,-2.67,0.7,3.14,9.76,0.37,1.72
59,PASTD,16.96,2.66,0.8,10.0,80.0,-1.8,-19.71,0.98,-0.02,3.99,-16.64
60,PASTD,14.72,3.06,0.8,10.0,80.0,3.64,-3.83,14.81,3.22,4.13,-1.19
61,PASTD,11.52,2.39,0.8,10.0,40.0,0.66,4.21,6.8,11.69,2.69,5.35
62,PASTD,14.88,2.64,0.8,10.0,30.0,-3.0,-0.14,2.19,13.57,0.61,0.24
63,PASTD,17.056,4.35,0.8,10.0,50.0,-0.11,4.6,6.83,16.78,1.69,4.96
64,PASTD,11.616,1.98,0.8,10.0,80.0,-5.64,2.66,-0.15,11.89,-1.11,3.48
65,PASTD,14.624,3.2,0.8,10.0,30.0,-0.1,4.07,6.99,10.9,1.64,5.42
66,PASTD,13.44,2.66,0.8,10.0,20.0,1.56,-1.33,12.47,5.51,2.17,0.76
67,PASTD,13.952,3.06,0.8,10.0,70.0,4.2,0.66,16.72,7.35,4.54,2.44
68,PASTD,14.304,2.92,0.8,10.0,80.0,-7.99,2.07,-4.71,17.05,0.74,2.29
69,PASTD,14.976,3.5,0.8,10.0,30.0,3.67,3.03,11.63,11.78,4.71,3.93
70,PASTD,16.608,3.7,0.8,10.0,40.0,6.1,-3.76,18.47,1.06,6.42,0.49
71,PASTD,13.312,2.86,0.8,10.0,50.0,0.29,0.56,3.96,9.05,4.2,1.73
72,PASTD,10.048,0.9,0.8,10.0,30.0,-2.32,-15.87,4.78,0.23,-0.13,-12.86
73,PASTD,12.928,2.58,0.8,10.0,30.0,-4.12,2.52,1.88,11.82,-0.69,3.35
74,PASTD,13.696,2.56,0.8,10.0,20.0,-5.35,-1.87,17.71,0.77,-5.26,4.18
75,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
76,PASTD,16.032,4.26,1.2,10.0,30.0,-3.29,1.06,4.03,10.86,-0.95,1.88
77,PASTD,14.112,3.2,1.2,10.0,160.0,1.45,1.82,9.83,8.78,2.56,3.34
78,PASTD,13.44,2.5,1.2,10.0,40.0,0.36,-1.21,9.51,4.2,1.39,1.66
79,PASTD,12.96,2.16,1.2,10.0,70.0,1.5,-10.77,15.19,-6.34,1.82,-1.59
80,PASTD,13.312,2.64,1.2,10.0,100.0,-1.34,1.71,4.33,9.09,1.39,3.09
81,PASTD,15.84,3.93,1.2,10.0,40.0,0.29,0.74,8.06,3.65,1.71,5.42
82,PASTD,16.064,2.22,1.2,10.0,20.0,-19.65,-1.58,-0.32,3.45,-16.42,1.68
83,PASTD,12.544,1.42,1.2,10.0,160.0,-16.69,2.66,0.65,9.73,-13.91,4.05
84,PASTD,14.336,2.33,1.2,10.0,70.0,-0.82,-18.87,4.71,-0.16,1.87,-15.72
85,PASTD,17.184,4.12,1.2,10.0,30.0,1.38,0.42,9.65,8.76,2.53,1.65
86,PASTD,12.192,2.22,1.2,10.0,40.0,1.88,-3.84,12.91,1.6,2.46,-0.1
87,PASTD,14.24,2.93,1.2,10.0,50.0,-4.82,4.68,-1.17,18.51,1.27,4.93
88,PASTD,12.736,2.43,1.2,10.0,130.0,1.26,1.55,9.5,7.89,2.43,3.36
89,PASTD,14.176,2.45,1.2,10.0,20.0,0.2,-12.74,11.24,-7.51,0.87,-2.98
90,PASTD,13.888,2.6,1.2,10.0,70.0,-2.67,0.22,4.1,7.31,-0.22,1.91
91,PASTD,18.432,4.03,1.2,10.0,120.0,-10.74,3.8,-6.23,18.58,-1.67,4.01
92,PASTD,13.472,2.74,1.2,10.0,140.0,-3.53,3.06,2.8,16.08,-0.55,3.39
93,PASTD,12.448,2.25,1.2,10.0,70.0,1.9,0.93,8.03,8.82,3.75,2.24
94,PASTD,12.736,2.73,1.2,10.0,60.0,0.68,-2.09,6.97,3.21,2.64,1.13
95,PASTD,13.504,2.46,1.2,10.0,50.0,-6.4,2.84,0.13,17.75,-2.36,3.06
96,PASTD,14.88,2.96,1.2,10.0,30.0,-17.2,1.13,-14.33,20.03,0.43,1.23
97,PASTD,15.008,1.56,1.2,10.0,30.0,1.24,-18.42,6.37,0.4,3.73,-15.55
98,PASTD,12.16,0.99,1.2,10.0,80.0,-18.0,-1.63,0.13,3.52,-14.98,1.55
99,PASTD,12.992,2.49,1.2,10.0,60.0,-0.11,1.34,11.71,6.03,0.47,4.11
100,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101,PASTD,16.448,4.32,0.3,0.0,80.0,-1.62,-1.26,10.22,10.1,-0.94,-0.52
102,PASTD,13.184,3.76,0.3,0.0,80.0,3.27,-7.7,12.0,2.93,4.16,-5.51
103,PASTD,12.64,3.95,0.3,0.0,70.0,3.13,-3.62,12.63,0.58,3.88,1.18
104,PASTD,14.272,4.38,0.3,0.0,80.0,2.15,0.96,8.3,8.27,3.96,2.45
105,PASTD,14.656,4.3,0.3,0.0,150.0,1.63,-2.05,10.58,2.33,2.58,1.93
106,PASTD,13.12,2.91,0.3,0.0,90.0,1.81,-0.7,12.38,4.8,2.46,1.98
107,PASTD,15.68,3.24,0.3,0.0,30.0,3.88,-19.74,17.03,-0.55,4.18,-16.4
108,PASTD,12.064,2.99,0.3,0.0,30.0,-4.77,9.13,2.84,21.3,-2.13,9.44
109,PASTD,14.56,3.83,0.3,0.0,90.0,-3.45,-3.58,4.01,5.86,-1.14,-2.05
110,PASTD,14.08,3.57,0.3,0.0,40.0,4.22,4.94,11.26,14.69,5.49,5.58
111,PASTD,14.144,3.37,0.3,0.0,80.0,-0.9,-6.6,3.7,3.6,2.5,-4.59
112,PASTD,15.584,4.76,0.3,0.0,60.0,1.27,-9.03,5.34,-2.13,4.54,-3.83
113,PASTD,13.376,3.93,0.3,0.0,60.0,-2.16,3.51,7.91,13.54,-1.06,4.15
114,PASTD,13.184,4.08,0.3,0.0,140.0,0.02,3.98,8.62,15.04,1.23,4.47
115,PASTD,17.472,4.82,0.3,0.0,120.0,-2.41,-7.88,11.78,4.65,-1.96,-6.35
116,PASTD,16.672,5.33,0.3,0.0,40.0,3.38,-6.73,16.74,0.87,3.67,-3.3
117,PASTD,15.2,4.39,0.3,0.0,70.0,3.58,3.0,15.16,8.62,4.03,4.95
118,PASTD,13.376,4.32,0.3,0.0,30.0,-0.16,-9.48,8.15,-1.37,1.15,-5.0
119,PASTD,13.152,3.43,0.3,0.0,60.0,3.01,-3.26,15.43,8.88,3.39,-2.46
120,PASTD,16.928,6.14,0.3,0.0,90.0,1.33,2.41,9.13,5.97,2.62,5.91
121,PASTD,13.504,3.62,0.3,0.0,90.0,-7.85,-2.58,-0.55,9.05,-3.66,-1.76
122,PASTD,13.28,2.71,0.3,0.0,30.0,1.25,-19.28,5.07,-0.89,4.76,-15.74
123,PASTD,15.2,4.75,0.3,0.0,110.0,-10.75,6.03,2.35,20.05,-8.54,6.25
124,PASTD,13.824,4.03,0.3,0.0,80.0,-0.75,-0.25,8.24,9.47,0.44,0.71
125,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
126,PASTD,15.136,4.59,0.3,5.0,50.0,5.43,3.26,15.31,10.26,6.02,4.62
127,PASTD,10.656,2.53,0.3,5.0,50.0,7.74,3.65,17.58,10.41,8.29,5.06
128,PASTD,12.928,3.61,0.3,5.0,80.0,5.15,2.41,16.61,7.09,5.56,4.99
129,PASTD,14.144,3.84,0.3,5.0,70.0,6.37,-2.56,18.52,1.06,6.7,2.44
130,PASTD,13.344,3.19,0.3,5.0,30.0,3.85,2.1,10.12,7.45,5.43,4.32
131,PASTD,13.728,3.58,0.3,5.0,50.0,2.94,6.26,14.67,19.37,3.39,6.53
132,PASTD,13.6,3.21,0.3,5.0,40.0,5.49,-6.58,17.93,-2.31,5.82,-0.24
133,PASTD,14.304,4.69,0.3,5.0,90.0,5.71,-0.74,17.11,2.34,6.12,4.21
134,PASTD,13.44,3.7,0.3,5.0,80.0,-1.28,6.81,1.19,17.97,4.81,7.22
135,PASTD,14.24,3.84,0.3,5.0,110.0,8.82,4.88,14.86,14.22,10.21,5.58
136,PASTD,15.872,5.19,0.3,5.0,120.0,2.52,9.92,8.27,19.18,4.47,10.52
137,PASTD,12.544,3.29,0.3,5.0,70.0,5.59,0.43,17.51,7.53,5.96,2.08
138,PASTD,14.496,3.95,0.3,5.0,60.0,4.05,-6.37,21.1,0.36,4.17,-2.5
139,PASTD,14.016,3.46,0.3,5.0,70.0,3.98,3.65,13.56,15.01,4.67,4.11
140,PASTD,14.4,4.52,0.3,5.0,90.0,4.34,6.75,9.9,18.59,6.18,7.1
141,PASTD,13.312,3.1,0.3,5.0,40.0,6.91,-1.5,12.71,6.77,8.46,0.03
142,PASTD,19.584,5.95,0.3,5.0,90.0,-4.8,-0.87,6.05,7.36,-3.47,0.57
143,PASTD,12.448,3.07,0.3,5.0,50.0,-1.43,3.2,3.67,9.86,1.74,4.68
144,PASTD,14.464,3.79,0.3,5.0,50.0,4.41,2.12,16.22,8.2,4.8,3.96
145,PASTD,12.448,2.43,0.3,5.0,20.0,-17.43,-3.68,-0.75,1.78,-13.94,-0.02
146,PASTD,12.064,2.43,0.3,5.0,90.0,1.99,4.64,9.23,14.94,3.39,5.2
147,PASTD,19.68,6.08,0.3,5.0,50.0,-3.09,6.14,2.56,15.34,0.2,6.82
148,PASTD,12.512,2.95,0.3,5.0,170.0,5.25,-0.84,16.81,2.54,5.65,3.76
