run_idx,method,wav_length_sec,time_sec,T60,SNR_diffuse,mean_separation_deg,sdr_spk0,sdr_spk1,sir_spk0,sir_spk1,sar_spk0,sar_spk1,sdr_mean,sir_mean,sar_mean
68,PASTD,14.304,2.92,0.8,10.0,80.0,-7.99,2.07,-4.71,17.05,0.74,2.29,-2.96,6.17,1.5150000000000001
71,PASTD,13.312,2.86,0.8,10.0,50.0,0.29,0.56,3.96,9.05,4.2,1.73,0.42500000000000004,6.505000000000001,2.965
77,PASTD,14.112,3.2,1.2,10.0,160.0,1.45,1.82,9.83,8.78,2.56,3.34,1.635,9.305,2.95
79,PASTD,12.96,2.16,1.2,10.0,70.0,1.5,-10.77,15.19,-6.34,1.82,-1.59,-4.635,4.425,0.11499999999999999
80,PASTD,13.312,2.64,1.2,10.0,100.0,-1.34,1.71,4.33,9.09,1.39,3.09,0.18499999999999994,6.71,2.2399999999999998
83,PASTD,12.544,1.42,1.2,10.0,160.0,-16.69,2.66,0.65,9.73,-13.91,4.05,-7.015000000000001,5.19,-4.93
84,PASTD,14.336,2.33,1.2,10.0,70.0,-0.82,-18.87,4.71,-0.16,1.87,-15.72,-9.845,2.275,-6.925000000000001
87,PASTD,14.24,2.93,1.2,10.0,50.0,-4.82,4.68,-1.17,18.51,1.27,4.93,-0.07000000000000028,8.670000000000002,3.0999999999999996
88,PASTD,12.736,2.43,1.2,10.0,130.0,1.26,1.55,9.5,7.89,2.43,3.36,1.405,8.695,2.895
90,PASTD,13.888,2.6,1.2,10.0,70.0,-2.67,0.22,4.1,7.31,-0.22,1.91,-1.2249999999999999,5.705,0.845
91,PASTD,18.432,4.03,1.2,10.0,120.0,-10.74,3.8,-6.23,18.58,-1.67,4.01,-3.47,6.174999999999999,1.17
92,PASTD,13.472,2.74,1.2,10.0,140.0,-3.53,3.06,2.8,16.08,-0.55,3.39,-0.23499999999999988,9.44,1.42
93,PASTD,12.448,2.25,1.2,10.0,70.0,1.9,0.93,8.03,8.82,3.75,2.24,1.415,8.425,2.995
94,PASTD,12.736,2.73,1.2,10.0,60.0,0.68,-2.09,6.97,3.21,2.64,1.13,-0.7049999999999998,5.09,1.885
95,PASTD,13.504,2.46,1.2,10.0,50.0,-6.4,2.84,0.13,17.75,-2.36,3.06,-1.7800000000000002,8.94,0.3500000000000001
98,PASTD,12.16,0.99,1.2,10.0,80.0,-18.0,-1.63,0.13,3.52,-14.98,1.55,-9.815,1.825,-6.715
99,PASTD,12.992,2.49,1.2,10.0,60.0,-0.11,1.34,11.71,6.03,0.47,4.11,0.615,8.870000000000001,2.29
101,PASTD,16.448,4.32,0.3,0.0,80.0,-1.62,-1.26,10.22,10.1,-0.94,-0.52,-1.44,10.16,-0.73
102,PASTD,13.184,3.76,0.3,0.0,80.0,3.27,-7.7,12.0,2.93,4.16,-5.51,-2.215,7.465,-0.6749999999999998
103,PASTD,12.64,3.95,0.3,0.0,70.0,3.13,-3.62,12.63,0.58,3.88,1.18,-0.2450000000000001,6.605,2.53
104,PASTD,14.272,4.38,0.3,0.0,80.0,2.15,0.96,8.3,8.27,3.96,2.45,1.555,8.285,3.205
105,PASTD,14.656,4.3,0.3,0.0,150.0,1.63,-2.05,10.58,2.33,2.58,1.93,-0.20999999999999996,6.455,2.255
106,PASTD,13.12,2.91,0.3,0.0,90.0,1.81,-0.7,12.38,4.8,2.46,1.98,0.555,8.59,2.2199999999999998
109,PASTD,14.56,3.83,0.3,0.0,90.0,-3.45,-3.58,4.01,5.86,-1.14,-2.05,-3.515,4.9350000000000005,-1.5949999999999998
111,PASTD,14.144,3.37,0.3,0.0,80.0,-0.9,-6.6,3.7,3.6,2.5,-4.59,-3.75,3.6500000000000004,-1.045
112,PASTD,15.584,4.76,0.3,0.0,60.0,1.27,-9.03,5.34,-2.13,4.54,-3.83,-3.88,1.605,0.355
113,PASTD,13.376,3.93,0.3,0.0,60.0,-2.16,3.51,7.91,13.54,-1.06,4.15,0.6749999999999998,10.725,1.5450000000000002
114,PASTD,13.184,4.08,0.3,0.0,140.0,0.02,3.98,8.62,15.04,1.23,4.47,2.0,11.829999999999998,2.8499999999999996
115,PASTD,17.472,4.82,0.3,0.0,120.0,-2.41,-7.88,11.78,4.65,-1.96,-6.35,-5.145,8.215,-4.154999999999999
117,PASTD,15.2,4.39,0.3,0.0,70.0,3.58,3.0,15.16,8.62,4.03,4.95,3.29,11.89,4.49
119,PASTD,13.152,3.43,0.3,0.0,60.0,3.01,-3.26,15.43,8.88,3.39,-2.46,-0.125,12.155000000000001,0.4650000000000001
120,PASTD,16.928,6.14,0.3,0.0,90.0,1.33,2.41,9.13,5.97,2.62,5.91,1.87,7.550000000000001,4.265000000000001
121,PASTD,13.504,3.62,0.3,0.0,90.0,-7.85,-2.58,-0.55,9.05,-3.66,-1.76,-5.215,4.25,-2.71
123,PASTD,15.2,4.75,0.3,0.0,110.0,-10.75,6.03,2.35,20.05,-8.54,6.25,-2.36,11.200000000000001,-1.1449999999999996
124,PASTD,13.824,4.03,0.3,0.0,80.0,-0.75,-0.25,8.24,9.47,0.44,0.71,-0.5,8.855,0.575
126,PASTD,15.136,4.59,0.3,5.0,50.0,5.43,3.26,15.31,10.26,6.02,4.62,4.345,12.785,5.32
127,PASTD,10.656,2.53,0.3,5.0,50.0,7.74,3.65,17.58,10.41,8.29,5.06,5.695,13.995,6.674999999999999
128,PASTD,12.928,3.61,0.3,5.0,80.0,5.15,2.41,16.61,7.09,5.56,4.99,3.7800000000000002,11.85,5.275
129,PASTD,14.144,3.84,0.3,5.0,70.0,6.37,-2.56,18.52,1.06,6.7,2.44,1.905,9.79,4.57
131,PASTD,13.728,3.58,0.3,5.0,50.0,2.94,6.26,14.67,19.37,3.39,6.53,4.6,17.02,4.96
133,PASTD,14.304,4.69,0.3,5.0,90.0,5.71,-0.74,17.11,2.34,6.12,4.21,2.485,9.725,5.165
134,PASTD,13.44,3.7,0.3,5.0,80.0,-1.28,6.81,1.19,17.97,4.81,7.22,2.7649999999999997,9.58,6.015
135,PASTD,14.24,3.84,0.3,5.0,110.0,8.82,4.88,14.86,14.22,10.21,5.58,6.85,14.54,7.8950000000000005
136,PASTD,15.872,5.19,0.3,5.0,120.0,2.52,9.92,8.27,19.18,4.47,10.52,6.22,13.725,7.494999999999999
137,PASTD,12.544,3.29,0.3,5.0,70.0,5.59,0.43,17.51,7.53,5.96,2.08,3.01,12.520000000000001,4.02
138,PASTD,14.496,3.95,0.3,5.0,60.0,4.05,-6.37,21.1,0.36,4.17,-2.5,-1.1600000000000001,10.73,0.835
139,PASTD,14.016,3.46,0.3,5.0,70.0,3.98,3.65,13.56,15.01,4.67,4.11,3.815,14.285,4.390000000000001
140,PASTD,14.4,4.52,0.3,5.0,90.0,4.34,6.75,9.9,18.59,6.18,7.1,5.545,14.245000000000001,6.64
142,PASTD,19.584,5.95,0.3,5.0,90.0,-4.8,-0.87,6.05,7.36,-3.47,0.57,-2.835,6.705,-1.4500000000000002
143,PASTD,12.448,3.07,0.3,5.0,50.0,-1.43,3.2,3.67,9.86,1.74,4.68,0.8850000000000001,6.765,3.21
144,PASTD,14.464,3.79,0.3,5.0,50.0,4.41,2.12,16.22,8.2,4.8,3.96,3.265,12.209999999999999,4.38
146,PASTD,12.064,2.43,0.3,5.0,90.0,1.99,4.64,9.23,14.94,3.39,5.2,3.315,12.085,4.295
147,PASTD,19.68,6.08,0.3,5.0,50.0,-3.09,6.14,2.56,15.34,0.2,6.82,1.525,8.95,3.5100000000000002
148,PASTD,12.512,2.95,0.3,5.0,170.0,5.25,-0.84,16.81,2.54,5.65,3.76,2.205,9.674999999999999,4.705
151,PASTD,13.76,3.17,0.3,10.0,90.0,10.14,6.92,22.99,13.75,10.4,8.11,8.530000000000001,18.369999999999997,9.254999999999999
152,PASTD,13.568,3.87,0.3,10.0,120.0,6.73,10.86,13.8,22.01,7.86,11.23,8.795,17.905,9.545
154,PASTD,14.816,3.86,0.3,10.0,50.0,8.19,-0.55,18.25,9.66,8.71,0.33,3.82,13.955,4.5200000000000005
155,PASTD,12.8,3.17,0.3,10.0,80.0,7.89,9.09,17.1,20.55,8.52,9.45,8.49,18.825000000000003,8.985
156,PASTD,12.416,3.29,0.3,10.0,120.0,9.05,4.28,20.28,15.32,9.43,4.77,6.665000000000001,17.8,7.1
157,PASTD,15.36,3.9,0.3,10.0,60.0,8.19,-4.6,21.34,1.44,8.44,-1.01,1.795,11.39,3.715
158,PASTD,18.976,6.21,0.3,10.0,110.0,1.76,8.27,9.97,14.77,2.89,9.52,5.015,12.370000000000001,6.205
159,PASTD,14.4,2.82,0.3,10.0,140.0,7.07,6.75,18.86,15.99,7.43,7.41,6.91,17.425,7.42
163,PASTD,12.32,3.12,0.3,10.0,50.0,-7.3,8.55,-0.28,14.42,-3.18,10.0,0.6250000000000004,7.07,3.41
164,PASTD,14.112,3.55,0.3,10.0,50.0,-12.04,7.15,-9.9,13.68,2.38,8.43,-2.4449999999999994,1.8899999999999997,5.404999999999999
165,PASTD,14.816,3.77,0.3,10.0,140.0,4.79,5.14,14.68,10.41,5.4,7.04,4.965,12.545,6.220000000000001
166,PASTD,15.456,4.65,0.3,10.0,70.0,8.09,5.74,14.5,16.98,9.36,6.16,6.915,15.74,7.76
167,PASTD,16.576,5.02,0.3,10.0,130.0,5.86,4.29,20.22,8.76,6.06,6.76,5.075,14.489999999999998,6.41
168,PASTD,13.216,3.68,0.3,10.0,50.0,0.02,5.69,2.55,18.46,5.49,5.99,2.855,10.505,5.74
169,PASTD,11.552,3.09,0.3,10.0,90.0,5.55,8.14,15.08,12.55,6.2,10.32,6.845000000000001,13.815000000000001,8.26
171,PASTD,10.72,2.89,0.3,10.0,50.0,7.53,8.07,13.46,14.35,9.0,9.39,7.800000000000001,13.905000000000001,9.195
174,PASTD,13.408,3.58,0.3,10.0,140.0,7.37,-3.01,19.41,4.37,7.7,-0.79,2.18,11.89,3.455
176,PASTD,14.432,3.93,0.3,30.0,60.0,10.37,9.25,20.63,13.67,10.84,11.39,9.809999999999999,17.15,11.115
177,PASTD,16.064,5.28,0.3,30.0,110.0,11.82,6.6,17.38,9.99,13.31,9.67,9.21,13.684999999999999,11.49
178,PASTD,13.664,3.34,0.3,30.0,90.0,11.59,11.29,22.52,18.14,11.98,12.36,11.44,20.33,12.17
179,PASTD,13.728,4.2,0.3,30.0,60.0,12.45,10.68,23.89,18.08,12.8,11.62,11.565,20.985,12.21
180,PASTD,14.464,3.5,0.3,30.0,100.0,12.56,9.85,23.75,17.07,12.92,10.84,11.205,20.41,11.879999999999999
181,PASTD,14.496,3.68,0.3,30.0,160.0,10.33,2.73,23.43,5.52,10.57,7.04,6.53,14.475,8.805
182,PASTD,14.176,4.27,0.3,30.0,130.0,7.51,8.66,18.9,12.09,7.89,11.55,8.085,15.495,9.72
183,PASTD,14.56,3.72,0.3,30.0,70.0,11.46,2.89,24.13,5.86,11.72,6.93,7.175000000000001,14.995,9.325
185,PASTD,15.072,3.91,0.3,30.0,90.0,11.74,10.21,24.98,16.11,11.96,11.61,10.975000000000001,20.545,11.785
186,PASTD,10.624,2.18,0.3,30.0,90.0,12.54,9.12,25.16,15.89,12.8,10.26,10.829999999999998,20.525,11.530000000000001
187,PASTD,15.168,4.05,0.3,30.0,80.0,10.19,-4.87,23.34,-0.93,10.43,0.88,2.6599999999999997,11.205,5.655
