T60,SNR_diffuse,sdr_mean,sdr_mean,sir_mean,sir_mean,sar_mean,sar_mean
,,mean,median,mean,median,mean,median
0.3,0.0,-2.78,-3.25,7.93,8.52,-0.69,-0.87
0.3,5.0,-0.14,2.7,7.2,8.78,2.46,4.24
0.3,10.0,1.22,4.37,9.53,11.67,3.65,6.25
0.3,30.0,7.15,7.25,14.05,13.63,8.8,8.76
0.5,10.0,-0.14,1.41,9.41,11.18,1.92,2.92
0.8,10.0,-0.53,-0.34,7.98,8.97,1.46,1.63
1.2,10.0,-3.85,-1.12,5.14,5.86,-0.52,0.83
