run_idx,status,error_message,n_frames,duration_sec,mean_separation_deg,min_separation_deg,max_separation_deg,mean_sdr_spk0,mean_sdr_spk1,mean_sir_spk0,mean_sir_spk1,mean_sar_spk0,mean_sar_spk1,mean_nr_spk0,mean_nr_spk1,n_relock_events,mean_relock_latency_sec,pct_relock_failed,close_threshold_deg,avg_sir_close,avg_sir_far,avg_sir_close_spk0,avg_sir_close_spk1,avg_sir_far_spk0,avg_sir_far_spk1,n_windows_close,n_windows_far
1,ok,,325,10.4,140.0,140.0,140.0,1.5022338360591287,6.043019564490386,10.097573754833055,11.757508448919697,3.5176538546379787,8.860435181825089,6.883720562081247,7.807018946543019,2,1.376,0.5,45.0,nan,10.927541101876377,nan,nan,10.097573754833055,11.757508448919697,0,7
2,ok,,361,11.552,140.0,140.0,140.0,6.4981786372252435,6.676301887948359,13.250274658557949,14.80652532679696,7.912656874606128,7.630879326277442,6.386161399775261,7.109848281222271,2,nan,1.0,45.0,nan,14.028399992677455,nan,nan,13.250274658557949,14.80652532679696,0,6
3,ok,,410,13.12,160.0,160.0,160.0,3.5501815480087977,3.231507418499556,11.036335955338847,6.670219512964735,4.824672707694179,7.171380452922681,6.190583627145851,7.020156462332557,2,2.08,0.5,45.0,nan,8.853277734151792,nan,nan,11.036335955338847,6.670219512964735,0,10
4,ok,,469,15.008,30.0,30.0,30.0,3.121268543017331,-0.5619964674411992,14.203583078928268,4.9308205214506655,3.9146179828580236,3.6657995333099347,7.446706850019359,7.213152554644659,2,3.168,0.0,45.0,9.567201800189467,nan,14.203583078928268,4.9308205214506655,nan,nan,6,0
5,ok,,339,10.848,130.0,130.0,130.0,6.166864526812769,2.919912452742407,14.105451844199573,6.155343076743697,7.197651436184002,7.038815947051325,5.338344926333369,4.238079195342047,2,1.92,0.5,45.0,nan,10.130397460471634,nan,nan,14.105451844199573,6.155343076743697,0,6
6,ok,,437,13.984,nan,nan,nan,-7.741715560799252,-6.268760439814528,3.1482792847881726,2.745118427265212,-3.9362921503003867,-2.114149715884745,8.181133766684086,nan,3,1.104,0.33333333333333337,45.0,nan,nan,nan,nan,nan,nan,0,0
7,ok,,317,10.144,40.0,40.0,40.0,3.7421337935054746,4.613586574315795,10.58600955794343,8.275444406832529,5.649192973267284,9.321891792788476,7.196766940054501,7.048274891314248,2,nan,1.0,45.0,9.430726982387982,nan,10.58600955794343,8.275444406832529,nan,nan,5,0
8,ok,,357,11.424,160.0,160.0,160.0,1.4949639402606816,1.2679841911432987,8.099163681901596,7.611801169588635,3.5645858316323222,3.959500409480652,5.917635922062085,5.781252569390104,2,nan,1.0,45.0,nan,7.855482425745114,nan,nan,8.099163681901596,7.611801169588635,0,7
9,ok,,366,11.712,90.0,90.0,90.0,2.2585960594987267,0.5510260225948418,11.509014470736561,7.747477290702817,3.5900682491602915,3.829920031338743,8.045355836207209,4.50473176909891,2,nan,1.0,45.0,nan,9.628245880719689,nan,nan,11.509014470736561,7.747477290702817,0,6
10,ok,,450,14.4,40.0,40.0,40.0,-1.6227705508964014,7.2105012821979635,5.3539591968729585,13.886869760327057,1.4572124484654763,8.828269949017589,4.395465253424534,6.3160579958402066,2,2.432,0.5,45.0,9.620414478600008,nan,5.3539591968729585,13.886869760327057,nan,nan,9,0
11,ok,,462,14.784,140.0,140.0,140.0,1.931613511023811,0.8063296336526291,9.233973281323093,7.296798481286188,3.590865770198981,3.1290153088632904,5.945347541462189,7.646285158363661,2,3.152,0.0,45.0,nan,8.26538588130464,nan,nan,9.233973281323093,7.296798481286188,0,7
