run_idx,status,error_message,n_frames,duration_sec,mean_separation_deg,min_separation_deg,max_separation_deg,mean_sdr_spk0,mean_sdr_spk1,mean_sir_spk0,mean_sir_spk1,mean_sar_spk0,mean_sar_spk1,mean_nr_spk0,mean_nr_spk1,n_relock_events,mean_relock_latency_sec,pct_relock_failed,close_threshold_deg,avg_sir_close,avg_sir_far,avg_sir_close_spk0,avg_sir_close_spk1,avg_sir_far_spk0,avg_sir_far_spk1,n_windows_close,n_windows_far
1,ok,,325,10.4,140.0,140.0,140.0,1.258262914980645,5.459151558946578,9.592097462542556,11.135960516181232,3.378845866599756,8.414000896863632,6.957625390790383,8.324317100052646,2,1.376,0.5,45.0,nan,10.364028989361897,nan,nan,9.592097462542556,11.135960516181232,0,7
2,ok,,361,11.552,140.0,140.0,140.0,6.418178901562385,6.687659008796224,12.744136814456555,15.161041508338476,8.056544355324261,7.594612058465138,6.541979981352149,7.746991482533274,2,nan,1.0,45.0,nan,13.952589161397517,nan,nan,12.744136814456555,15.161041508338476,0,6
3,ok,,410,13.12,160.0,160.0,160.0,3.438466967321799,2.994470221369386,10.590429761235514,6.373187320586717,4.8381651788747275,7.0276588779005795,6.26556863807193,7.319432726375785,2,2.144,0.5,45.0,nan,8.481808540911114,nan,nan,10.590429761235514,6.373187320586717,0,10
4,error,LinAlgError: Matrix is not positive definite,,,,,,,,,,,,,,,,,,,,,,,,,
5,ok,,339,10.848,130.0,130.0,130.0,5.842076924766499,2.810201104816287,13.432368977786778,5.8908818248724195,7.018335522367565,7.123113503722252,5.59025699446937,5.53991659881136,2,1.92,0.5,45.0,nan,9.661625401329598,nan,nan,13.432368977786778,5.8908818248724195,0,6
6,error,LinAlgError: Matrix is not positive definite,,,,,,,,,,,,,,,,,,,,,,,,,
7,error,LinAlgError: Matrix is not positive definite,,,,,,,,,,,,,,,,,,,,,,,,,
8,ok,,357,11.424,160.0,160.0,160.0,1.8949371661959218,1.6866875488890938,8.436933898580245,8.16176576435821,4.016421687348717,4.0185241037901145,6.2203639547850385,7.269853484662452,2,nan,1.0,45.0,nan,8.299349831469227,nan,nan,8.436933898580245,8.16176576435821,0,7
9,error,LinAlgError: Matrix is not positive definite,,,,,,,,,,,,,,,,,,,,,,,,,
10,ok,,450,14.4,40.0,40.0,40.0,-1.7589914936828042,7.130681464870455,4.918524049949147,13.687405882390594,1.4962463934419012,8.808722566537154,4.328268051329507,7.463230529616901,2,2.432,0.5,45.0,9.30296496616987,nan,4.918524049949147,13.687405882390594,nan,nan,9,0
11,ok,,462,14.784,140.0,140.0,140.0,1.871038468530058,0.7057033866764378,9.124641826261994,7.361494600371695,3.5508620188576856,2.933372661870576,5.985462445842148,7.934615360257506,2,2.464,0.5,45.0,nan,8.243068213316844,nan,nan,9.124641826261994,7.361494600371695,0,7
12,ok,,382,12.224,70.0,70.0,70.0,0.820960083548643,4.870291613700436,8.607578860547056,10.41921353007073,4.618397201318306,7.422161300971421,6.7650649443137185,10.268788152382395,2,nan,1.0,45.0,nan,9.513396195308891,nan,nan,8.607578860547056,10.41921353007073,0,6
13,ok,,391,12.512,130.0,130.0,130.0,7.239343421249783,5.048868562731398,15.978892064291474,11.580407555986207,8.140330002257057,7.414940506381944,5.450073449062483,6.902506121818988,2,nan,1.0,45.0,nan,13.77964981013884,nan,nan,15.978892064291474,11.580407555986207,0,8
14,ok,,399,12.768,30.0,30.0,30.0,4.358700014427317,1.9677960003569541,12.703939821549573,5.913950056099887,5.364433197444331,5.58860962530146,9.351373033531639,6.42074771291705,2,nan,1.0,45.0,9.30894493882473,nan,12.703939821549573,5.913950056099887,nan,nan,8,0
15,ok,,293,9.376,nan,nan,nan,-9.66796312625644,-5.364701606994541,1.0655484706743101,0.6498191517683268,-5.580510834785707,0.4229790227194794,7.72888479224448,nan,2,0.896,0.5,45.0,nan,nan,nan,nan,nan,nan,0,0
16,ok,,348,11.136,40.0,40.0,40.0,5.45050826139804,6.886005816788247,12.654247265330381,14.474924199139647,6.617396964665725,7.894615673658414,3.5004298200606176,5.646804578514853,2,nan,1.0,45.0,13.564585732235013,nan,12.654247265330381,14.474924199139647,nan,nan,5,0
17,ok,,377,12.064,90.0,90.0,90.0,4.946870930130429,5.225781173036966,10.40293218193694,12.68046934922289,6.820279108362253,6.429878320284554,4.585447963036175,4.597812699025768,2,2.784,0.5,45.0,nan,11.541700765579915,nan,nan,10.40293218193694,12.68046934922289,0,5
18,ok,,371,11.872,140.0,140.0,140.0,-3.0574386995385514,4.733482780443273,3.734353625172083,11.933431824655155,0.3030290756579451,6.3682680346353635,7.141375752632376,6.48165802002333,2,nan,1.0,45.0,nan,7.8338927249136185,nan,nan,3.734353625172083,11.933431824655155,0,7
19,error,LinAlgError: Matrix is not positive definite,,,,,,,,,,,,,,,,,,,,,,,,,
20,ok,,415,13.28,70.0,70.0,70.0,1.7051278908849383,-0.384796781463861,11.660971526352947,4.764729490621318,2.655659020222547,3.585826970296185,4.417473609508438,7.177925040286155,2,3.68,0.5,45.0,nan,8.212850508487131,nan,nan,11.660971526352947,4.764729490621318,0,7
