run_idx,method,seed,audio_length_sec,wav_length_sec,T60,SNR_diffuse,mean_separation_deg,sdr_avg,sir_avg,sar_avg,nr_spk0_db,nr_spk1_db,separation_time_sec
20,GEVD,,,43.584,0.2,30.0,80.90721649484536,4.637385915823134,16.73237748117917,5.047915093440433,14.083467555440567,6.631401646334113,46.29514718055725
21,GEVD,,,43.584,0.2,30.0,80.90721649484536,5.333096344277069,14.808915734717543,6.149354356823986,7.281754949719328,6.115572363843573,43.81523060798645
22,GEVD,,,43.584,0.2,30.0,80.90721649484536,0.18357542420726303,10.981768421304555,1.0077770152827825,10.971795158511204,6.167682297902751,32.54138207435608
23,GEVD,,,43.584,0.2,30.0,80.90721649484536,0.36858161144391266,10.26497292855321,1.2521686522914561,17.33012736037455,9.058719195153074,29.775439262390137
24,GEVD,,,43.584,0.2,30.0,80.90721649484536,3.5229362546526577,12.38453887830849,4.402616682121641,12.037302270067425,6.679522672161941,46.76233434677124
25,GEVD,,,43.584,0.2,30.0,80.90721649484536,5.417711686986175,15.477218828472099,6.0047403195385005,13.076981297609295,6.062957582031308,53.15644192695618
20,PASTD,,,43.584,0.2,30.0,80.90721649484536,4.1779078422617655,16.266207504071712,4.597676270256026,12.833391406243164,5.877194395936531,49.31568360328674
21,PASTD,,,43.584,0.2,30.0,80.90721649484536,5.408253075833469,15.618630211014526,6.003466146748535,6.263147978215311,5.233309110678426,53.77817106246948
22,PASTD,,,43.584,0.2,30.0,80.90721649484536,0.7294387509990623,10.149459491765253,1.7152629963660817,9.825155266307604,5.37022382764725,52.6504065990448
23,PASTD,,,43.584,0.2,30.0,80.90721649484536,-1.0937463890525807,7.831969767254454,0.5327871470988386,16.781438990668285,8.0328840398904,15.569020986557007
24,PASTD,,,43.584,0.2,30.0,80.90721649484536,3.6257473904385353,11.782179984189186,4.651646434282333,11.3918021655737,7.006226877790925,15.548932075500488
25,PASTD,,,43.584,0.2,30.0,80.90721649484536,4.112426166340745,14.496320953420982,4.681807462975612,13.077377575282355,4.553498341938397,15.663017988204956
20,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
