Experiment,SDR (dB),SIR (dB),SAR (dB),NR Spk 0 (dB),NR Spk 1 (dB),Noise Contam (%),Spatial Contam (%),DOA Error (%),DOA Jitter (%),Overlap Recall (%),Diagnosis
1,-7.020931391959313,4.170824515594778,-3.9707314746002207,,,0.6153846153846154,0.6153846153846154,39.61038961038961,9.5679012345679,85.29411764705883,[Cat 1] Severe Failure. Overlap Recall: 85.3% | Noise Contam: 0.6%
2,7.010458925731879,14.80061201966527,8.052556076748132,6.744195881435583,7.996657984814968,0.2770083102493075,0.554016620498615,63.101604278074866,6.666666666666667,100.0,[Cat 3] Success. Overlap Recall: 100.0% | DOA Jitter: 6.7%
3,3.056625114479515,9.497162181336554,4.971117523502654,5.708547625431453,7.538649795461581,1.4634146341463417,3.414634146341464,31.666666666666664,7.334963325183375,64.51612903225806,[Cat 3] Success. Overlap Recall: 64.5% | DOA Jitter: 7.3%
4,,,,,,0.0,0.0,0.0,0.0,0.0,Pipeline Crash
5,-7.341183754181436,3.014298905991475,-3.7056086986230463,5.163246974219707,5.491543571756964,1.1799410029498525,2.6548672566371683,28.39506172839506,6.21301775147929,100.0,[Cat 1] Severe Failure. Overlap Recall: 100.0% | Noise Contam: 1.2%
6,,,,,,0.0,0.0,0.0,0.0,0.0,Pipeline Crash
7,,,,,,0.0,0.0,0.0,0.0,0.0,Pipeline Crash
8,-9.187172150012074,2.252149515459987,-5.6151850190965895,,,0.2801120448179272,4.201680672268908,24.840764331210192,2.247191011235955,93.18181818181817,[Cat 1] Severe Failure. Overlap Recall: 93.2% | Noise Contam: 0.3%
9,,,,,,0.0,0.0,0.0,0.0,0.0,Pipeline Crash
10,-6.80160716468147,5.847253953587357,-4.358321802871904,,,1.1111111111111112,0.2222222222222222,0.4273504273504274,2.6726057906458798,91.34615384615384,[Cat 1] Severe Failure. Overlap Recall: 91.3% | Noise Contam: 1.1%
11,-9.89993820643181,1.5748855685168228,-6.315360758752936,,,0.21645021645021645,2.813852813852814,4.104477611940299,4.772234273318872,98.73417721518987,[Cat 1] Severe Failure. Overlap Recall: 98.7% | Noise Contam: 0.2%
12,,,,,,0.0,0.0,0.0,0.0,0.0,Pipeline Crash
13,7.929738653192999,17.30517783842831,8.617027781983175,5.972341651419491,7.298833037686228,0.0,2.557544757033248,6.7164179104477615,5.128205128205128,81.92771084337349,[Cat 3] Success. Overlap Recall: 81.9% | DOA Jitter: 5.1%
14,-7.774596022118157,3.5150309406674665,-4.4758650096185715,,,1.5037593984962405,3.007518796992481,11.16751269035533,3.7688442211055273,80.72289156626506,[Cat 1] Severe Failure. Overlap Recall: 80.7% | Noise Contam: 1.5%
15,-8.613661961952005,0.3823692230801644,-3.4729939886477506,,,2.3890784982935154,1.7064846416382253,16.083916083916083,6.506849315068493,100.0,[Cat 1] Severe Failure. Overlap Recall: 100.0% | Noise Contam: 2.4%
16,5.98574835272853,13.970168085523941,6.916111100630326,2.61634262752131,5.816981228616834,1.1494252873563218,0.8620689655172413,10.112359550561797,9.221902017291066,100.0,[Cat 3] Success. Overlap Recall: 100.0% | DOA Jitter: 9.2%
17,4.09670869627845,11.130854654851746,5.401278320981433,3.374570222063034,4.093942406156341,0.7957559681697612,0.2652519893899204,30.097087378640776,6.117021276595745,97.1830985915493,[Cat 3] Success. Overlap Recall: 97.2% | DOA Jitter: 6.1%
18,-8.240926565194194,3.115143937448516,-5.13385778703406,,,0.0,4.8517520215633425,30.67484662576687,7.027027027027027,90.9090909090909,[Cat 1] Severe Failure. Overlap Recall: 90.9% | Noise Contam: 0.0%
19,,,,,,0.0,0.0,0.0,0.0,0.0,Pipeline Crash
20,3.83759772103402,10.378005201780828,6.023221506899738,4.010333840863837,7.233423617529101,0.0,5.0602409638554215,33.014354066985646,6.280193236714976,100.0,[Cat 3] Success. Overlap Recall: 100.0% | DOA Jitter: 6.3%
