run_idx,method,wav_length_sec,time_sec,T60,SNR_diffuse,mean_separation_deg,sdr_spk0,sdr_spk1,sir_spk0,sir_spk1
2031,GEVD,28.992,11.46,0.3,10.0,30.0,N/A,N/A,N/A,N/A
2031,PASTD,28.992,8.79,0.3,10.0,30.0,N/A,N/A,N/A,N/A
2032,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2032,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2033,GEVD,39.808,21.0,0.3,10.0,130.0,N/A,N/A,N/A,N/A
2033,PASTD,39.808,14.34,0.3,10.0,130.0,N/A,N/A,N/A,N/A
2034,GEVD,40.0,20.57,0.3,10.0,70.0,N/A,N/A,N/A,N/A
2034,PASTD,40.0,14.09,0.3,10.0,70.0,N/A,N/A,N/A,N/A
2035,GEVD,42.176,23.04,0.3,10.0,110.0,N/A,N/A,N/A,N/A
2035,PASTD,42.176,14.08,0.3,10.0,110.0,N/A,N/A,N/A,N/A
2036,GEVD,43.68,64.11,0.3,10.0,30.0,N/A,N/A,N/A,N/A
2036,PASTD,43.68,45.99,0.3,10.0,30.0,N/A,N/A,N/A,N/A
2037,GEVD,39.744,39.96,0.3,10.0,110.0,N/A,N/A,N/A,N/A
2037,PASTD,39.744,13.51,0.3,10.0,110.0,N/A,N/A,N/A,N/A
2038,GEVD,41.184,23.15,0.3,10.0,70.0,N/A,N/A,N/A,N/A
2038,PASTD,41.184,14.08,0.3,10.0,70.0,N/A,N/A,N/A,N/A
2039,GEVD,39.52,22.42,0.3,10.0,30.0,N/A,N/A,N/A,N/A
2039,PASTD,39.52,14.03,0.3,10.0,30.0,N/A,N/A,N/A,N/A
2040,GEVD,41.92,24.99,0.3,10.0,100.0,N/A,N/A,N/A,N/A
2040,PASTD,41.92,16.57,0.3,10.0,100.0,N/A,N/A,N/A,N/A
2041,GEVD,40.768,33.74,0.3,10.0,40.0,N/A,N/A,N/A,N/A
2041,PASTD,40.768,24.22,0.3,10.0,40.0,N/A,N/A,N/A,N/A
2042,GEVD,40.704,30.07,0.3,10.0,150.0,N/A,N/A,N/A,N/A
2042,PASTD,40.704,23.66,0.3,10.0,150.0,N/A,N/A,N/A,N/A
2043,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2043,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2044,GEVD,48.512,33.84,0.3,10.0,70.0,N/A,N/A,N/A,N/A
2044,PASTD,48.512,20.98,0.3,10.0,70.0,N/A,N/A,N/A,N/A
2045,GEVD,50.368,35.74,0.3,10.0,20.0,N/A,N/A,N/A,N/A
2045,PASTD,50.368,20.1,0.3,10.0,20.0,N/A,N/A,N/A,N/A
2046,GEVD,50.24,30.41,0.3,10.0,70.0,N/A,N/A,N/A,N/A
2046,PASTD,50.24,20.91,0.3,10.0,70.0,N/A,N/A,N/A,N/A
2047,GEVD,48.384,48.8,0.3,10.0,140.0,N/A,N/A,N/A,N/A
2047,PASTD,48.384,38.92,0.3,10.0,140.0,N/A,N/A,N/A,N/A
2048,GEVD,50.56,30.67,0.3,10.0,120.0,N/A,N/A,N/A,N/A
2048,PASTD,50.56,41.06,0.3,10.0,120.0,N/A,N/A,N/A,N/A
2049,GEVD,49.568,28.9,0.3,10.0,50.0,N/A,N/A,N/A,N/A
2049,PASTD,49.568,18.68,0.3,10.0,50.0,N/A,N/A,N/A,N/A
2050,GEVD,50.112,29.97,0.3,10.0,60.0,N/A,N/A,N/A,N/A
2050,PASTD,50.112,19.43,0.3,10.0,60.0,N/A,N/A,N/A,N/A
2051,GEVD,50.432,28.78,0.3,10.0,50.0,N/A,N/A,N/A,N/A
2051,PASTD,50.432,19.38,0.3,10.0,50.0,N/A,N/A,N/A,N/A
2052,GEVD,48.896,28.7,0.3,10.0,50.0,N/A,N/A,N/A,N/A
2052,PASTD,48.896,20.26,0.3,10.0,50.0,N/A,N/A,N/A,N/A
2053,GEVD,48.832,49.75,0.3,10.0,130.0,N/A,N/A,N/A,N/A
2053,PASTD,48.832,39.53,0.3,10.0,130.0,N/A,N/A,N/A,N/A
2054,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2054,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2055,GEVD,60.928,61.29,0.3,10.0,40.0,N/A,N/A,N/A,N/A
2055,PASTD,60.928,28.48,0.3,10.0,40.0,N/A,N/A,N/A,N/A
2056,GEVD,60.192,39.32,0.3,10.0,70.0,N/A,N/A,N/A,N/A
2056,PASTD,60.192,27.22,0.3,10.0,70.0,N/A,N/A,N/A,N/A
2057,GEVD,60.384,43.79,0.3,10.0,20.0,N/A,N/A,N/A,N/A
2057,PASTD,60.384,25.81,0.3,10.0,20.0,N/A,N/A,N/A,N/A
2058,GEVD,61.152,49.95,0.3,10.0,20.0,N/A,N/A,N/A,N/A
2058,PASTD,61.152,29.75,0.3,10.0,20.0,N/A,N/A,N/A,N/A
2059,GEVD,60.928,90.73,0.3,10.0,30.0,N/A,N/A,N/A,N/A
2059,PASTD,60.928,119.01,0.3,10.0,30.0,N/A,N/A,N/A,N/A
2060,GEVD,62.944,41.35,0.3,10.0,20.0,N/A,N/A,N/A,N/A
2060,PASTD,62.944,26.47,0.3,10.0,20.0,N/A,N/A,N/A,N/A
2061,GEVD,62.464,50.18,0.3,10.0,80.0,N/A,N/A,N/A,N/A
2061,PASTD,62.464,29.97,0.3,10.0,80.0,N/A,N/A,N/A,N/A
2062,GEVD,60.288,41.02,0.3,10.0,20.0,N/A,N/A,N/A,N/A
2062,PASTD,60.288,25.29,0.3,10.0,20.0,N/A,N/A,N/A,N/A
2063,GEVD,61.536,45.31,0.3,10.0,110.0,N/A,N/A,N/A,N/A
2063,PASTD,61.536,29.37,0.3,10.0,110.0,N/A,N/A,N/A,N/A
2064,GEVD,60.8,47.65,0.3,10.0,110.0,N/A,N/A,N/A,N/A
2064,PASTD,60.8,29.46,0.3,10.0,110.0,N/A,N/A,N/A,N/A
2065,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2065,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2066,GEVD,69.632,88.91,0.3,10.0,90.0,N/A,N/A,N/A,N/A
2066,PASTD,69.632,34.11,0.3,10.0,90.0,N/A,N/A,N/A,N/A
2067,GEVD,68.096,41.62,0.3,10.0,120.0,N/A,N/A,N/A,N/A
2067,PASTD,68.096,28.58,0.3,10.0,120.0,N/A,N/A,N/A,N/A
2068,GEVD,69.472,46.65,0.3,10.0,120.0,N/A,N/A,N/A,N/A
2068,PASTD,69.472,32.98,0.3,10.0,120.0,N/A,N/A,N/A,N/A
2069,GEVD,71.424,54.78,0.3,10.0,40.0,N/A,N/A,N/A,N/A
2069,PASTD,71.424,30.86,0.3,10.0,40.0,N/A,N/A,N/A,N/A
2070,GEVD,69.12,34.42,0.3,10.0,20.0,N/A,N/A,N/A,N/A
2070,PASTD,69.12,77.53,0.3,10.0,20.0,N/A,N/A,N/A,N/A
2071,GEVD,71.264,156.76,0.3,10.0,50.0,N/A,N/A,N/A,N/A
2071,PASTD,71.264,27.62,0.3,10.0,50.0,N/A,N/A,N/A,N/A
2072,GEVD,68.8,50.51,0.3,10.0,110.0,N/A,N/A,N/A,N/A
2072,PASTD,68.8,28.81,0.3,10.0,110.0,N/A,N/A,N/A,N/A
2073,GEVD,69.856,39.75,0.3,10.0,110.0,N/A,N/A,N/A,N/A
2073,PASTD,69.856,26.93,0.3,10.0,110.0,N/A,N/A,N/A,N/A
2074,GEVD,70.144,45.37,0.3,10.0,160.0,N/A,N/A,N/A,N/A
2074,PASTD,70.144,28.3,0.3,10.0,160.0,N/A,N/A,N/A,N/A
2075,GEVD,70.88,93.38,0.3,10.0,130.0,N/A,N/A,N/A,N/A
2075,PASTD,70.88,156.16,0.3,10.0,130.0,N/A,N/A,N/A,N/A
2076,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2076,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
