run_idx,method,wav_length_sec,time_sec,T60,SNR_diffuse,mean_separation_deg,sdr_spk0,sdr_spk1,sir_spk0,sir_spk1,sar_spk0,sar_spk1
1,PASTD,15.072,8.3,0.387,17.0,40.0,N/A,N/A,N/A,N/A,N/A,N/A
2,PASTD,13.728,3.66,0.456,11.0,50.0,N/A,N/A,N/A,N/A,N/A,N/A
3,PASTD,13.344,3.49,0.445,15.0,40.0,N/A,N/A,N/A,N/A,N/A,N/A
1,PASTD,15.072,7.81,0.387,17.0,40.0,8.38,7.53,16.56,15.57,9.19,8.39
2,PASTD,13.728,3.4,0.456,11.0,50.0,3.55,9.01,7.35,20.5,6.63,9.37
3,PASTD,13.344,3.25,0.445,15.0,40.0,7.57,-3.24,21.41,1.29,7.78,1.06
4,PASTD,13.856,3.99,0.503,15.0,80.0,5.89,7.77,14.24,17.95,6.73,8.28
5,PASTD,15.456,4.56,0.377,19.0,100.0,9.35,9.89,19.05,20.94,9.9,10.28
